,quit,n_prac,s_final,prac_final
4508,0,3502,0.7118125625539713,1000.0
4509,0,3474,0.8877959259264374,1000.0
4510,0,3470,0.8879538516399464,1000.0
4511,0,3473,0.8574815269602593,1000.0
4512,0,3569,0.7995563152596349,1000.0
4513,1,18,0.005099303434410443,41.97251722173359
4514,0,3525,0.8662553598995401,1000.0
4515,0,3547,0.8436972238157907,1000.0
4516,1,9,0.0001580405633961927,27.793922168099257
4517,0,3477,0.6841730212867507,1000.0
4518,0,3459,0.8721613127735168,1000.0
4519,1,12,0.0023955204310278666,27.54186883773542
4520,0,3495,0.719034124324389,1000.0
4521,0,3526,0.8837141254201014,1000.0
4522,1,13,0.0025968504938798857,37.39535322380863
4523,0,3479,0.8587729143928821,1000.0
4524,0,3571,0.8838229766798427,1000.0
4525,1,7,0.0026876352415416555,26.439282262112577
4526,0,3566,0.8558021535769598,1000.0
4527,0,3470,0.8634227167796894,1000.0
4528,1,15,0.005367156753825013,36.962537250918814
4529,0,3469,0.7956863282417697,1000.0
4530,1,12,0.008556298751007456,30.590512482888936
4531,0,3535,0.8184702109688258,1000.0
4532,0,3419,0.8719004567812161,1000.0
4533,0,3524,0.8926312934069341,1000.0
4534,0,3518,0.8230204570889149,1000.0
4535,0,3514,0.8894412733937843,1000.0
4536,0,3557,0.8249454086840406,1000.0
4537,0,3559,0.8804664424332668,1000.0
4538,0,3524,0.7915395444946898,1000.0
4539,0,3512,0.8296619233971049,1000.0
4540,0,3485,0.7605172023187278,1000.0
4541,0,3517,0.8695703692484387,1000.0
4542,0,3531,0.7528175816018531,1000.0
4543,0,3512,0.8946557745696688,1000.0
4544,0,3545,0.8301018567325815,1000.0
4545,0,3537,0.8346450912586604,1000.0
4546,0,3595,0.8425003403171146,1000.0
4547,0,3428,0.8110848502226768,1000.0
4548,0,3421,0.8343466311135016,1000.0
4549,0,3470,0.7849180708471463,1000.0
4550,0,3552,0.8672408648945726,1000.0
4551,0,3479,0.6776031171957341,1000.0
4552,1,19,0.0015099980600543255,42.26726582052341
4553,0,3490,0.8755935330970486,1000.0
4554,1,12,0.008197878907484706,31.102082343861117
4555,0,3507,0.8930632968523864,1000.0
4556,0,3530,0.8933896744209694,1000.0
4557,1,4,0.006025150687534573,9.509658693868746
4558,0,3556,0.8780518789232877,1000.0
4559,0,3503,0.8319370137157038,1000.0
4560,0,3491,0.8164337309887998,1000.0
4561,1,15,0.007110940395166664,36.64910216328078
4562,1,9,0.005033313915117963,16.965447597075944
4563,0,3499,0.8399212148202557,1000.0
4564,0,3520,0.8838037027078768,1000.0
4565,0,3538,0.8768331783953112,1000.0
4566,0,3499,0.8685344926451322,1000.0
4567,0,3461,0.8576074253810587,1000.0
4568,0,3536,0.8927774123097784,1000.0
4569,0,3469,0.8878505807139238,1000.0
4570,0,3492,0.8884878887136927,1000.0
4571,0,3497,0.8761034283365523,1000.0
4572,0,3529,0.7709803167711468,1000.0
4573,0,3529,0.870742302416824,1000.0
4574,0,3438,0.8722806411344675,1000.0
4575,1,11,0.008745838875480968,29.618548570604403
4576,0,3516,0.7472394742941508,1000.0
4577,0,3493,0.8005476926816846,1000.0
4578,0,3517,0.767586596511076,1000.0
