"username","total_count","earliest","latest","career_length","play_freq","percent_rapid","percent_Blitz","percent_bullet","percent_classic","percent_puzzle"
"Argentyna10",5,2016-08-02,2016-08-19,18,0.277777777777778,0,0.2,0,0.6,0
"Armankazemian",1,2016-08-02,2016-08-02,1,1,0,1,1,0,0
"Bardock306",1,2016-08-02,2016-08-02,1,1,0,0,0,1,0
"Branone",1,2016-08-02,2016-08-02,1,1,0,0,0,0,0
"CaptainYesterday",2354,2016-08-02,2024-10-10,2992,0.786764705882353,0.0441801189464741,0.220475785896347,0.914188615123195,0.00169923534409516,0.254885301614274
"ChenYin",2,2016-08-02,2016-08-04,3,0.666666666666667,0,0,0,0,0
"CisHuinink",35,2016-08-02,2020-09-30,1521,0.0230111768573307,0.285714285714286,0.0285714285714286,0,0.657142857142857,0.0857142857142857
"Currencyone",8,2016-08-02,2017-04-18,260,0.0307692307692308,0,0.75,0,0.125,0
"Daoisnow",373,2016-08-02,2022-08-31,2221,0.167942368302566,0.0804289544235925,0.836461126005362,0.348525469168901,0.158176943699732,0.176943699731903
"Dinar_110",2,2016-08-02,2020-01-07,1254,0.00159489633173844,0.5,0,1,1,0
"DistanceXL",2,2016-08-02,2016-08-03,2,1,0,0,0,1,0
"DonUriello",2,2016-08-02,2023-01-11,2354,0.000849617672047579,0.5,1,0.5,0,0
"EFRA86",11,2016-08-02,2016-08-17,16,0.6875,0,1,0,0.181818181818182,0
"EmeralDormousez",1,2016-08-02,2016-08-02,1,1,0,0,0,1,0
"GeassUser",1,2016-08-02,2016-08-02,1,1,0,0,0,1,0
"Hach1man",2,2016-08-02,2016-12-03,124,0.0161290322580645,0,0,0.5,0.5,0
"Haldur",128,2016-08-02,2017-08-24,388,0.329896907216495,0,1,0,0,0
"Kaczmar",55,2016-08-02,2024-04-01,2800,0.0196428571428571,0.109090909090909,0.109090909090909,0.0545454545454545,0.581818181818182,0.181818181818182
"LauraCV",1,2016-08-02,2016-08-02,1,1,0,0,0,0,0
"Linderlow",7,2016-08-02,2016-09-27,57,0.12280701754386,0,0,0,1,0
"LuTTiFoX",1,2016-08-02,2016-08-02,1,1,0,0,0,0,0
"MarioS93",2,2016-08-02,2016-08-03,2,1,0,1,0.5,1,0
"Misterfrosty",54,2016-08-02,2023-11-20,2667,0.0202474690663667,0,0.148148148148148,0,0.518518518518518,0.351851851851852
"Nick1946",1,2016-08-02,2016-08-02,1,1,0,0,0,1,0
"OSorte",1,2016-08-02,2016-08-02,1,1,0,0,0,1,0
"Paradisiac",1,2016-08-02,2016-08-02,1,1,0,0,1,0,0
"RudenkoVova128",1,2016-08-02,2016-08-02,1,1,0,1,0,1,0
"SC_Freiburg",1,2016-08-02,2016-08-02,1,1,0,0,1,0,0
"Terminatorov",5,2016-08-02,2016-08-06,5,1,0,0.4,0,0.8,0
"Toran",8,2016-08-02,2016-08-29,28,0.285714285714286,0,0.375,0,0.75,0
"WhenIceStrikes",3,2016-08-02,2016-08-06,5,0.6,0,1,0.666666666666667,0,0
"adrianduta",1,2016-08-02,2016-08-02,1,1,0,1,0,0,0
"ajsaborb",1,2016-08-02,2016-08-02,1,1,0,0,0,1,0
"chess_fire79",18,2016-08-02,2016-08-22,21,0.857142857142857,0,0.944444444444444,0.0555555555555556,0.111111111111111,0
"cutfive",87,2016-08-02,2024-10-10,2992,0.0290775401069519,0.67816091954023,0,0,0.32183908045977,0.149425287356322
"epass",5,2016-08-02,2016-08-08,7,0.714285714285714,0,0.2,0.4,1,0
"gedeon6768",2526,2016-08-02,2024-10-10,2992,0.844251336898396,0.00395882818685669,0.991686460807601,0.0399841646872526,0.000791765637371338,0.000791765637371338
"hahahhhah",25,2016-08-02,2017-02-25,208,0.120192307692308,0,0.92,0.28,0.12,0
"irishockey",7,2016-08-02,2016-08-12,11,0.636363636363636,0,0.571428571428571,0.285714285714286,0.714285714285714,0
"jackkniphe",593,2016-08-02,2019-04-25,997,0.594784353059178,0.500843170320405,0.00168634064080944,0.00337268128161889,0.500843170320405,0
"janeguo",287,2016-08-02,2020-09-18,1509,0.190192180251822,0.0662020905923345,0.634146341463415,0.379790940766551,0.0452961672473868,0.0209059233449477
"johannes1337",1,2016-08-02,2016-08-02,1,1,0,0,0,1,0
"juandiego_anaj",37,2016-08-02,2018-01-14,531,0.0696798493408663,0,0.351351351351351,0,0.675675675675676,0
"kanchelskiz",2,2016-08-02,2016-08-03,2,1,0,0,0,1,0
"kardd",19,2016-08-02,2022-10-26,2277,0.00834431269213878,0,0.684210526315789,0.0526315789473684,0.473684210526316,0
"kokegoldzeo",1,2016-08-02,2016-08-02,1,1,0,0,0,1,0
"kosmopolit",22,2016-08-02,2017-01-06,158,0.139240506329114,0,0.136363636363636,0.0909090909090909,1,0
"ks1234567",182,2016-08-02,2024-01-14,2722,0.0668626010286554,0.0989010989010989,0.010989010989011,0,0.901098901098901,0.0549450549450549
"lety15",3,2016-08-02,2016-08-04,3,1,0,0,1,0,0
"lgding",8,2016-08-02,2017-02-01,184,0.0434782608695652,0,0,0,0.875,0
"maiconxuxa",83,2016-08-02,2017-02-03,186,0.446236559139785,0,0.0120481927710843,0.0120481927710843,0.0240963855421687,0
"masoudraeisi",820,2016-08-02,2024-09-05,2957,0.277308082516064,0.919512195121951,0.196341463414634,0.00853658536585366,0.0414634146341463,0.0341463414634146
"meget",42,2016-08-02,2017-03-26,237,0.177215189873418,0,1,0,0,0
"mramor",422,2016-08-02,2024-10-08,2990,0.141137123745819,0.805687203791469,0.0023696682464455,0,0.196682464454976,0
"nik1464",6,2016-08-02,2016-08-07,6,1,0,0.5,0,0.833333333333333,0
"omartinezb",2,2016-08-02,2016-08-04,3,0.666666666666667,0,0.5,0,1,0
"omirtay",3,2016-08-02,2016-09-25,55,0.0545454545454545,0,0,0,1,0
"oscarjared1818",57,2016-08-02,2017-08-01,365,0.156164383561644,0,0.298245614035088,0.0526315789473684,0.649122807017544,0
"patricaxe",2,2016-08-02,2016-08-03,2,1,0,0,0,1,0
"rajivathreya",1,2016-08-02,2016-08-02,1,1,0,0,0,1,0
"samsonsamson",2,2016-08-02,2016-08-04,3,0.666666666666667,0,0,0,1,0
"satan_worshipper_666",2,2016-08-02,2016-08-03,2,1,0,0.5,1,0,0
"shabhu",7,2016-08-02,2016-09-22,52,0.134615384615385,0,0,0,1,0
"shadofox",1,2016-08-02,2016-08-02,1,1,0,1,0,0,0
"shrijoshi",35,2016-08-02,2017-03-08,219,0.159817351598174,0,0.0285714285714286,0.0285714285714286,1,0
"skj2000",2,2016-08-02,2016-08-03,2,1,0,0.5,0,1,0
"srikrishnan1708",363,2016-08-02,2024-09-15,2967,0.122345803842265,0.258953168044077,0.862258953168044,0.0358126721763085,0.0303030303030303,0.09366391184573
"titanishere",27,2016-08-02,2016-08-30,29,0.931034482758621,0,0.259259259259259,0.037037037037037,1,0
"traktorist45",627,2016-08-02,2020-01-15,1262,0.496830427892235,0,0.00159489633173844,0.998405103668262,0,0
"uerbeden",1,2016-08-02,2016-08-02,1,1,0,1,0,0,0
"vdstef7777",6,2016-08-02,2024-02-29,2768,0.00216763005780347,0,0,0.166666666666667,0.5,0.5
"vikke",1,2016-08-02,2016-08-02,1,1,0,0,0,1,0
"vstrasse23",22,2016-08-02,2017-01-12,164,0.134146341463415,0,0.181818181818182,0.0909090909090909,1,0
"wakefield2323",4,2016-08-02,2021-05-09,1742,0.00229621125143513,0,1,0,0,0
"zyad006",4,2016-08-02,2016-08-14,13,0.307692307692308,0,0,0.25,1,0
"Alexis77",1,2016-08-03,2016-08-03,1,1,0,0,0,1,0
"AndUfo",351,2016-08-03,2024-07-13,2902,0.120951068228808,0.00854700854700855,0.954415954415954,0.0142450142450142,0.0740740740740741,0.0142450142450142
"Beater101",6,2016-08-03,2016-08-09,7,0.857142857142857,0,1,0.666666666666667,0.833333333333333,0
"ChessBRZ",2,2016-08-03,2016-08-04,2,1,0,0,0,1,0
"DavidDong",26,2016-08-03,2017-02-05,187,0.13903743315508,0,0.692307692307692,0.230769230769231,0.615384615384615,0
"Deriner",1,2016-08-03,2016-08-03,1,1,0,1,0,0,0
"EugeneViVi",1,2016-08-03,2016-08-03,1,1,0,0,0,1,0
"Guirumo86",435,2016-08-03,2024-04-08,2806,0.155024946543122,0,0.606896551724138,0.00459770114942529,0.216091954022989,0.195402298850575
"Jeybla",4,2016-08-03,2016-08-31,29,0.137931034482759,0,0.25,0,0.75,0
"JohnGalt2137",291,2016-08-03,2020-10-09,1529,0.19032047089601,0.15807560137457,0.824742268041237,0.109965635738832,0.213058419243986,0
"Lalkay",955,2016-08-03,2024-10-10,2991,0.319291206954196,0.242931937172775,0.821989528795812,0.0492146596858639,0.0701570680628272,0.037696335078534
"MURFDOGRICH",2,2016-08-03,2016-08-14,12,0.166666666666667,0,0,0.5,0.5,0
"MrOne",21,2016-08-03,2017-02-10,192,0.109375,0,0.666666666666667,0.380952380952381,0.714285714285714,0
"OBR20000",5,2016-08-03,2017-04-06,247,0.0202429149797571,0,0.2,0,0.8,0
"PecaturPemula",1,2016-08-03,2016-08-03,1,1,0,1,0,0,0
"Prawn_sac",51,2016-08-03,2023-07-23,2546,0.0200314218381775,0.0980392156862745,0.333333333333333,0.0392156862745098,0.0784313725490196,0.0980392156862745
"RafaelGalo",1,2016-08-03,2016-08-03,1,1,0,1,0,1,0
"SwapVR",4,2016-08-03,2016-08-06,4,1,0,0,0.25,0,0
"TheOneTanner",1265,2016-08-03,2024-10-10,2991,0.422935473085924,0.00316205533596838,0.932806324110672,0.335177865612648,0.0324110671936759,0.00395256916996047
"ThenotoriousVlad",1,2016-08-03,2016-08-03,1,1,0,0,0,1,0
"Vilkku",1952,2016-08-03,2024-10-10,2991,0.652624540287529,0.267418032786885,0.835553278688525,0.0133196721311475,0.0107581967213115,0.401639344262295
"VotePresidentTrump",23,2016-08-03,2016-08-25,23,1,0,1,0.608695652173913,0.652173913043478,0
"Werewolf1222",2,2016-08-03,2016-08-04,2,1,0,1,0,0,0
"WilliamBurroughs",1,2016-08-03,2016-08-03,1,1,0,1,1,0,0
"aris1234567",433,2016-08-03,2023-07-26,2549,0.169870537465673,0.157043879907621,0.852193995381062,0.0438799076212471,0.0808314087759815,0.0254041570438799
"arthurgomes",2694,2016-08-03,2024-10-09,2990,0.901003344481605,0.00927988121752042,0.366740905716407,0.635486265775798,0.0879732739420935,0.000742390497401633
"baastr",4,2016-08-03,2016-08-09,7,0.571428571428571,0,0,0.5,0.25,0
"bal7ous",6,2016-08-03,2023-04-14,2446,0.00245298446443173,0.166666666666667,0.666666666666667,0,0.333333333333333,0
"balaramashokcool",4,2016-08-03,2016-08-25,23,0.173913043478261,0,0,0.5,0.75,0
"bugfinda",1,2016-08-03,2016-08-03,1,1,0,0,1,0,0
"charlietevaamatar",7,2016-08-03,2016-08-19,17,0.411764705882353,0,0,0,0.857142857142857,0
"chmirovoz",130,2016-08-03,2023-11-15,2661,0.0488538143555054,0.0384615384615385,0.161538461538462,0.346153846153846,0.615384615384615,0
"d1masik",521,2016-08-03,2024-09-21,2972,0.175302826379542,0.719769673704415,0.153550863723608,0.00383877159309021,0.153550863723608,0.0575815738963532
"davidyoamoadios",1,2016-08-03,2016-08-03,1,1,0,0,0,1,0
"fatihkaba",11,2016-08-03,2016-08-15,13,0.846153846153846,0,0.272727272727273,0.454545454545455,0.727272727272727,0
"fenderrr",1,2016-08-03,2016-08-03,1,1,0,0,1,0,0
"gazeli",5,2016-08-03,2016-08-10,8,0.625,0,0.4,0.2,0.8,0
"hevesliacemi",5,2016-08-03,2020-08-20,1479,0.00338066260987153,0,0.2,0.4,0,0
"iivar",2,2016-08-03,2016-08-06,4,0.5,0,1,0,0,0
"juliaseller",4,2016-08-03,2016-08-08,6,0.666666666666667,0,0.75,0.5,0.5,0
"k2016",735,2016-08-03,2023-11-10,2656,0.276731927710843,0.191836734693878,0.329251700680272,0.0340136054421769,0.336054421768707,0.269387755102041
"kadhod",1348,2016-08-03,2023-07-27,2550,0.528627450980392,0.00222551928783383,0.945103857566766,0.00222551928783383,0.0623145400593472,0.000741839762611276
"karabanovIvan",18,2016-08-03,2016-09-24,53,0.339622641509434,0,0,0,1,0
"lastword",54,2016-08-03,2023-04-09,2441,0.0221220811142974,0.0555555555555556,0.185185185185185,0,0.814814814814815,0
"mariaasmaria",1,2016-08-03,2016-08-03,1,1,0,0,0,1,0
"mehrak92",1,2016-08-03,2016-08-03,1,1,0,1,1,1,0
