"username","total_count","earliest","latest","career_length","play_freq","percent_rapid","percent_Blitz","percent_bullet","percent_classic","percent_puzzle"
"suny92",1627,2018-07-02,2024-09-12,2265,0.718322295805739,0.00368776889981561,0.990165949600492,0.00368776889981561,0.00245851259987707,0.219422249539029
"taimer005",745,2018-07-02,2024-10-29,2312,0.322231833910035,0.00939597315436242,0.58255033557047,0.589261744966443,0,0.0657718120805369
"theleefant",1,2018-07-02,2018-07-02,1,1,1,0,0,0,0
"AnkitThakur",1,2018-07-03,2018-07-03,1,1,0,0,1,0,0
"ArielRamiro",662,2018-07-03,2024-11-04,2317,0.285714285714286,0.0166163141993958,0.00755287009063444,0,0,0.992447129909366
"Bidad2577",3,2018-07-03,2018-07-05,3,1,1,0,0,0,0
"Bravo999",19,2018-07-03,2018-10-11,101,0.188118811881188,0,0,0,1,0
"Hospitaller",17,2018-07-03,2022-11-20,1602,0.0106117353308365,0,0,0,1,0.0588235294117647
"Infinity_Lin",26,2018-07-03,2024-07-30,2220,0.0117117117117117,0,0.5,0.538461538461538,0,0.115384615384615
"IronPower",1,2018-07-03,2018-07-03,1,1,0,1,0,0,0
"JG03",2,2018-07-03,2018-07-06,4,0.5,0,1,0,0,0
"JeromeLon",61,2018-07-03,2023-12-20,1997,0.0305458187280921,0.213114754098361,0.0655737704918033,0.0491803278688525,0.0163934426229508,0.704918032786885
"LeugimL",36,2018-07-03,2018-09-16,76,0.473684210526316,0.833333333333333,0.638888888888889,0.0277777777777778,0.0555555555555556,0
"Mansur123321",51,2018-07-03,2018-10-27,117,0.435897435897436,0,1,0.0588235294117647,0.0196078431372549,0
"MrBrains",912,2018-07-03,2024-11-04,2317,0.393612429866206,0.00548245614035088,0.880482456140351,0.144736842105263,0.00109649122807018,0.00219298245614035
"Riddhi0129",5,2018-07-03,2018-07-20,18,0.277777777777778,0,1,0.2,0.2,0
"RuzzoC",11,2018-07-03,2018-07-14,12,0.916666666666667,0.636363636363636,0.818181818181818,0.0909090909090909,0,0
"SingleeQueen",4,2018-07-03,2018-10-12,102,0.0392156862745098,0,0,1,0,0
"TalonW",1148,2018-07-03,2024-11-04,2317,0.495468277945619,0.198606271777003,0.53397212543554,0.000871080139372822,0.171602787456446,0.368466898954704
"Taskent777",3,2018-07-03,2018-08-28,57,0.0526315789473684,0,0.333333333333333,1,0,0
"TheGhostThatDiddles",3,2018-07-03,2018-07-09,7,0.428571428571429,1,0,0,0,0
"Vadim123_v",1,2018-07-03,2018-07-03,1,1,1,0,0,0,0
"andajuanda",1,2018-07-03,2018-07-03,1,1,1,1,0,0,0
"bgh_ger",35,2018-07-03,2018-08-15,44,0.795454545454545,0,0.0571428571428571,1,0,0
"ceris42",4,2018-07-03,2019-03-12,253,0.0158102766798419,0,0.25,0.75,0,0
"haimoc789",789,2018-07-03,2024-11-01,2314,0.340968020743302,1,0,0,0,0.00126742712294043
"hgally",7,2018-07-03,2024-08-30,2251,0.00310972900932919,0,0,1,0,0
"janetran0108",1,2018-07-03,2018-07-03,1,1,1,0,0,0,0
"matuzzz",6,2018-07-03,2018-10-15,105,0.0571428571428571,0,0.666666666666667,1,0,0
"ngocnha92",1,2018-07-03,2018-07-03,1,1,0,0,1,0,0
"nirx",1,2018-07-03,2018-07-03,1,1,0,0,1,0,0
"numon",182,2018-07-03,2019-09-24,449,0.405345211581292,0,1,0,0,0.00549450549450549
"olnest",19,2018-07-03,2019-05-15,317,0.0599369085173502,0,1,0.0526315789473684,0,0
"raadrahman",20,2018-07-03,2024-08-26,2247,0.00890075656430797,0.25,0.1,0.35,0,0.45
"raystir98",791,2018-07-03,2024-10-19,2301,0.343763581051717,0.0884955752212389,0.802781289506953,0.482932996207332,0.0164348925410872,0.0960809102402023
"ronaldo2",12,2018-07-03,2020-06-20,719,0.0166898470097357,0,0.166666666666667,0.333333333333333,0,0
"ruki15",9,2018-07-03,2018-07-18,16,0.5625,1,0,0,0,0
"ruppi",1205,2018-07-03,2024-11-04,2317,0.520069054812257,0.110373443983402,0.855601659751037,0.655601659751037,0.000829875518672199,0.526970954356846
"ssn8",1279,2018-07-03,2024-11-01,2314,0.552722558340536,0.000781860828772478,0.129788897576231,0.90852228303362,0,0.26505082095387
"Ahmed_kerdasy",1,2018-07-04,2018-07-04,1,1,0,1,0,0,0
"BatEnd004",260,2018-07-04,2024-10-01,2282,0.113935144609991,0.169230769230769,0.15,0.00384615384615385,0.0538461538461538,0.873076923076923
